timestamp, system, entity , value (ntu)
1622104445.540, lauv-roald, SmartX, 2.600
1622104446.041, lauv-roald, SmartX, 2.400
1622104446.540, lauv-roald, SmartX, 2.600
1622104447.040, lauv-roald, SmartX, 2.400
1622104447.540, lauv-roald, SmartX, 2.800
1622104448.040, lauv-roald, SmartX, 2.800
1622104448.540, lauv-roald, SmartX, 2.600
1622104449.040, lauv-roald, SmartX, 2.800
1622104449.540, lauv-roald, SmartX, 2.600
1622104450.041, lauv-roald, SmartX, 2.600
1622104450.540, lauv-roald, SmartX, 2.600
1622104451.040, lauv-roald, SmartX, 2.200
1622104451.540, lauv-roald, SmartX, 2.400
1622104452.040, lauv-roald, SmartX, 2.600
1622104452.540, lauv-roald, SmartX, 2.800
1622104453.040, lauv-roald, SmartX, 2.800
1622104453.539, lauv-roald, SmartX, 2.600
1622104454.039, lauv-roald, SmartX, 2.600
1622104454.540, lauv-roald, SmartX, 2.600
1622104455.041, lauv-roald, SmartX, 2.800
1622104455.539, lauv-roald, SmartX, 2.800
1622104456.039, lauv-roald, SmartX, 3.000
1622104456.539, lauv-roald, SmartX, 2.600
1622104457.039, lauv-roald, SmartX, 2.800
1622104457.541, lauv-roald, SmartX, 2.800
1622104458.039, lauv-roald, SmartX, 2.800
1622104458.539, lauv-roald, SmartX, 2.600
1622104459.039, lauv-roald, SmartX, 2.800
1622104459.539, lauv-roald, SmartX, 2.600
1622104460.039, lauv-roald, SmartX, 2.800
1622104460.539, lauv-roald, SmartX, 2.600
1622104461.039, lauv-roald, SmartX, 2.600
1622104461.539, lauv-roald, SmartX, 3.000
1622104462.039, lauv-roald, SmartX, 3.000
1622104462.539, lauv-roald, SmartX, 2.600
1622104463.039, lauv-roald, SmartX, 2.800
1622104463.539, lauv-roald, SmartX, 2.600
1622104464.039, lauv-roald, SmartX, 2.800
1622104464.538, lauv-roald, SmartX, 3.800
1622104465.038, lauv-roald, SmartX, 2.800
1622104465.538, lauv-roald, SmartX, 3.000
1622104466.038, lauv-roald, SmartX, 2.600
1622104466.538, lauv-roald, SmartX, 3.200
1622104467.038, lauv-roald, SmartX, 2.600
1622104467.538, lauv-roald, SmartX, 2.800
1622104468.038, lauv-roald, SmartX, 2.800
1622104468.538, lauv-roald, SmartX, 3.000
1622104469.038, lauv-roald, SmartX, 2.600
1622104469.538, lauv-roald, SmartX, 2.600
1622104470.038, lauv-roald, SmartX, 3.600
1622104470.538, lauv-roald, SmartX, 3.600
1622104471.038, lauv-roald, SmartX, 2.800
1622104471.538, lauv-roald, SmartX, 3.200
1622104472.038, lauv-roald, SmartX, 2.600
1622104472.538, lauv-roald, SmartX, 3.000
1622104473.038, lauv-roald, SmartX, 3.000
1622104473.538, lauv-roald, SmartX, 2.600
1622104474.038, lauv-roald, SmartX, 2.800
1622104474.538, lauv-roald, SmartX, 3.000
1622104475.037, lauv-roald, SmartX, 3.200
1622104475.538, lauv-roald, SmartX, 2.600
1622104476.038, lauv-roald, SmartX, 3.000
