timestamp, system, entity , value (s/m)
1622104421.042, lauv-roald, SmartX, 2.246
1622104421.541, lauv-roald, SmartX, 2.213
1622104422.041, lauv-roald, SmartX, 2.184
1622104422.541, lauv-roald, SmartX, 2.161
1622104423.041, lauv-roald, SmartX, 2.150
1622104423.541, lauv-roald, SmartX, 2.153
1622104424.041, lauv-roald, SmartX, 2.162
1622104424.541, lauv-roald, SmartX, 2.170
1622104425.041, lauv-roald, SmartX, 2.182
1622104425.541, lauv-roald, SmartX, 2.177
1622104426.041, lauv-roald, SmartX, 2.151
1622104426.541, lauv-roald, SmartX, 2.136
1622104427.041, lauv-roald, SmartX, 2.118
1622104427.541, lauv-roald, SmartX, 2.135
1622104428.041, lauv-roald, SmartX, 2.313
1622104428.541, lauv-roald, SmartX, 2.442
1622104429.041, lauv-roald, SmartX, 2.272
1622104429.541, lauv-roald, SmartX, 2.219
1622104430.041, lauv-roald, SmartX, 2.159
1622104430.541, lauv-roald, SmartX, 2.136
1622104431.042, lauv-roald, SmartX, 2.127
1622104431.541, lauv-roald, SmartX, 2.128
1622104432.042, lauv-roald, SmartX, 2.321
1622104432.540, lauv-roald, SmartX, 2.616
1622104433.040, lauv-roald, SmartX, 2.524
1622104433.541, lauv-roald, SmartX, 2.279
1622104434.041, lauv-roald, SmartX, 2.200
1622104434.541, lauv-roald, SmartX, 2.164
1622104435.040, lauv-roald, SmartX, 2.141
1622104435.540, lauv-roald, SmartX, 2.151
1622104436.040, lauv-roald, SmartX, 2.229
1622104436.540, lauv-roald, SmartX, 2.368
1622104437.040, lauv-roald, SmartX, 2.317
1622104437.540, lauv-roald, SmartX, 2.262
1622104438.041, lauv-roald, SmartX, 2.266
1622104438.540, lauv-roald, SmartX, 2.549
1622104439.040, lauv-roald, SmartX, 2.746
1622104439.540, lauv-roald, SmartX, 2.816
1622104440.040, lauv-roald, SmartX, 2.709
1622104440.540, lauv-roald, SmartX, 2.483
1622104441.040, lauv-roald, SmartX, 2.327
1622104441.540, lauv-roald, SmartX, 2.241
1622104442.041, lauv-roald, SmartX, 2.292
1622104442.540, lauv-roald, SmartX, 2.613
1622104443.040, lauv-roald, SmartX, 2.656
1622104443.541, lauv-roald, SmartX, 2.450
1622104444.040, lauv-roald, SmartX, 2.372
1622104444.541, lauv-roald, SmartX, 2.253
1622104445.040, lauv-roald, SmartX, 2.124
1622104445.540, lauv-roald, SmartX, 2.119
1622104446.040, lauv-roald, SmartX, 2.120
1622104446.540, lauv-roald, SmartX, 2.161
1622104447.040, lauv-roald, SmartX, 2.260
1622104447.540, lauv-roald, SmartX, 2.249
1622104448.040, lauv-roald, SmartX, 2.231
1622104448.540, lauv-roald, SmartX, 2.241
1622104449.040, lauv-roald, SmartX, 2.313
1622104449.540, lauv-roald, SmartX, 2.296
1622104450.041, lauv-roald, SmartX, 2.252
1622104450.540, lauv-roald, SmartX, 2.222
1622104451.040, lauv-roald, SmartX, 2.148
1622104451.540, lauv-roald, SmartX, 2.123
1622104452.040, lauv-roald, SmartX, 2.141
1622104452.540, lauv-roald, SmartX, 2.175
1622104453.040, lauv-roald, SmartX, 2.219
1622104453.539, lauv-roald, SmartX, 2.204
1622104454.039, lauv-roald, SmartX, 2.208
1622104454.540, lauv-roald, SmartX, 2.223
1622104455.041, lauv-roald, SmartX, 2.250
1622104455.539, lauv-roald, SmartX, 2.332
1622104456.039, lauv-roald, SmartX, 2.331
1622104456.539, lauv-roald, SmartX, 2.309
1622104457.039, lauv-roald, SmartX, 2.240
1622104457.541, lauv-roald, SmartX, 2.144
1622104458.039, lauv-roald, SmartX, 2.044
1622104458.539, lauv-roald, SmartX, 2.014
1622104459.039, lauv-roald, SmartX, 2.050
1622104459.539, lauv-roald, SmartX, 2.233
1622104460.039, lauv-roald, SmartX, 2.596
1622104460.539, lauv-roald, SmartX, 2.756
1622104461.039, lauv-roald, SmartX, 2.834
