timestamp, system, entity , value (m)
1622104256.345, lauv-roald, DVL, 0.079
1622104256.553, lauv-roald, SmartX, 0.438
1622104256.747, lauv-roald, DVL, 0.063
1622104256.944, lauv-roald, DVL, 0.051
1622104257.053, lauv-roald, SmartX, 0.388
1622104257.148, lauv-roald, DVL, 0.037
1622104257.549, lauv-roald, DVL, 0.020
1622104257.553, lauv-roald, SmartX, 0.378
1622104257.750, lauv-roald, DVL, 0.015
1622104257.949, lauv-roald, DVL, 0.035
1622104258.053, lauv-roald, SmartX, 0.408
1622104258.346, lauv-roald, DVL, 0.051
1622104258.549, lauv-roald, DVL, 0.047
1622104258.552, lauv-roald, SmartX, 0.438
1622104258.750, lauv-roald, DVL, 0.051
1622104259.053, lauv-roald, SmartX, 0.428
1622104259.149, lauv-roald, DVL, 0.049
1622104259.348, lauv-roald, DVL, 0.047
1622104259.546, lauv-roald, DVL, 0.044
1622104259.552, lauv-roald, SmartX, 0.438
1622104259.945, lauv-roald, DVL, 0.043
1622104260.052, lauv-roald, SmartX, 0.438
1622104260.145, lauv-roald, DVL, 0.059
1622104260.343, lauv-roald, DVL, 0.050
1622104260.552, lauv-roald, SmartX, 0.438
1622104260.749, lauv-roald, DVL, 0.063
1622104260.947, lauv-roald, DVL, 0.068
1622104261.052, lauv-roald, SmartX, 0.478
1622104261.145, lauv-roald, DVL, 0.074
1622104261.548, lauv-roald, DVL, 0.073
1622104261.552, lauv-roald, SmartX, 0.468
1622104261.747, lauv-roald, DVL, 0.055
1622104261.949, lauv-roald, DVL, 0.064
1622104262.052, lauv-roald, SmartX, 0.448
1622104262.347, lauv-roald, DVL, 0.054
1622104262.548, lauv-roald, DVL, 0.051
1622104262.552, lauv-roald, SmartX, 0.408
1622104262.747, lauv-roald, DVL, 0.052
1622104263.052, lauv-roald, SmartX, 0.418
1622104263.148, lauv-roald, DVL, 0.046
1622104263.349, lauv-roald, DVL, 0.050
1622104263.548, lauv-roald, DVL, 0.043
1622104263.552, lauv-roald, SmartX, 0.438
1622104263.950, lauv-roald, DVL, 0.051
1622104264.052, lauv-roald, SmartX, 0.458
1622104264.149, lauv-roald, DVL, 0.081
1622104264.348, lauv-roald, DVL, 0.062
1622104264.552, lauv-roald, SmartX, 0.448
1622104264.748, lauv-roald, DVL, 0.060
1622104264.948, lauv-roald, DVL, 0.073
1622104265.052, lauv-roald, SmartX, 0.448
1622104265.148, lauv-roald, DVL, 0.055
1622104265.547, lauv-roald, DVL, 0.040
1622104265.552, lauv-roald, SmartX, 0.438
1622104265.748, lauv-roald, DVL, 0.052
1622104265.948, lauv-roald, DVL, 0.044
