timestamp, system, entity , value (m)
1623928935.603, lauv-roald, SmartX, 0.388
1623928935.653, lauv-roald, DVL, 0.031
1623928936.052, lauv-roald, DVL, 0.034
1623928936.103, lauv-roald, SmartX, 0.368
1623928936.255, lauv-roald, DVL, 0.029
1623928936.451, lauv-roald, DVL, 0.017
1623928936.603, lauv-roald, SmartX, 0.398
1623928936.852, lauv-roald, DVL, 0.038
1623928937.054, lauv-roald, DVL, 0.025
1623928937.103, lauv-roald, SmartX, 0.368
1623928937.251, lauv-roald, DVL, 0.020
1623928937.603, lauv-roald, SmartX, 0.388
1623928937.652, lauv-roald, DVL, 0.029
1623928937.852, lauv-roald, DVL, 0.038
1623928938.053, lauv-roald, DVL, 0.040
1623928938.103, lauv-roald, SmartX, 0.408
1623928938.451, lauv-roald, DVL, 0.054
1623928938.603, lauv-roald, SmartX, 0.438
1623928938.652, lauv-roald, DVL, 0.051
1623928938.851, lauv-roald, DVL, 0.073
1623928939.103, lauv-roald, SmartX, 0.428
1623928939.251, lauv-roald, DVL, 0.074
1623928939.454, lauv-roald, DVL, 0.081
1623928939.603, lauv-roald, SmartX, 0.418
1623928939.651, lauv-roald, DVL, 0.078
1623928940.052, lauv-roald, DVL, 0.080
1623928940.103, lauv-roald, SmartX, 0.398
1623928940.251, lauv-roald, DVL, 0.084
1623928940.451, lauv-roald, DVL, 0.078
1623928940.603, lauv-roald, SmartX, 0.358
1623928940.850, lauv-roald, DVL, 0.059
1623928941.051, lauv-roald, DVL, 0.052
1623928941.103, lauv-roald, SmartX, 0.338
1623928941.254, lauv-roald, DVL, 0.044
1623928941.603, lauv-roald, SmartX, 0.328
1623928941.654, lauv-roald, DVL, 0.028
1623928941.852, lauv-roald, DVL, 0.019
1623928942.053, lauv-roald, DVL, 0.020
1623928942.102, lauv-roald, SmartX, 0.338
1623928942.449, lauv-roald, DVL, 0.012
1623928942.603, lauv-roald, SmartX, 0.348
1623928942.653, lauv-roald, DVL, 0.030
1623928942.851, lauv-roald, DVL, 0.026
1623928943.102, lauv-roald, SmartX, 0.318
1623928943.252, lauv-roald, DVL, 0.021
1623928943.449, lauv-roald, DVL, 0.022
1623928943.603, lauv-roald, SmartX, 0.298
1623928943.651, lauv-roald, DVL, 0.009
1623928944.053, lauv-roald, DVL, 0.000
1623928944.103, lauv-roald, SmartX, 0.279
1623928944.251, lauv-roald, DVL, 0.000
1623928944.451, lauv-roald, DVL, 0.000
1623928944.603, lauv-roald, SmartX, 0.259
1623928944.851, lauv-roald, DVL, 0.000
1623928945.053, lauv-roald, DVL, 0.000
1623928945.103, lauv-roald, SmartX, 0.229
1623928945.251, lauv-roald, DVL, 0.000
1623928945.602, lauv-roald, SmartX, 0.199
1623928945.651, lauv-roald, DVL, 0.000
1623928945.852, lauv-roald, DVL, 0.000
1623928946.053, lauv-roald, DVL, 0.000
1623928946.102, lauv-roald, SmartX, 0.189
1623928946.452, lauv-roald, DVL, 0.000
1623928946.602, lauv-roald, SmartX, 0.189
1623928946.652, lauv-roald, DVL, 0.000
1623928946.851, lauv-roald, DVL, 0.000
1623928947.102, lauv-roald, SmartX, 0.179
