timestamp, system, entity , value (m)
1625574543.897, lauv-roald, SmartX, 0.408
1625574544.065, lauv-roald, DVL, 0.096
1625574544.397, lauv-roald, SmartX, 0.418
1625574544.463, lauv-roald, DVL, 0.107
1625574544.662, lauv-roald, DVL, 0.080
1625574544.865, lauv-roald, DVL, 0.051
1625574544.897, lauv-roald, SmartX, 0.358
1625574545.265, lauv-roald, DVL, 0.039
1625574545.397, lauv-roald, SmartX, 0.298
1625574545.466, lauv-roald, DVL, 0.007
1625574545.665, lauv-roald, DVL, 0.001
1625574545.897, lauv-roald, SmartX, 0.289
1625574546.064, lauv-roald, DVL, 0.000
1625574546.266, lauv-roald, DVL, 0.000
1625574546.398, lauv-roald, SmartX, 0.279
1625574546.462, lauv-roald, DVL, 0.003
1625574546.864, lauv-roald, DVL, 0.006
1625574546.897, lauv-roald, SmartX, 0.328
1625574547.063, lauv-roald, DVL, 0.025
1625574547.263, lauv-roald, DVL, 0.034
1625574547.397, lauv-roald, SmartX, 0.348
1625574547.664, lauv-roald, DVL, 0.092
1625574547.864, lauv-roald, DVL, 0.097
1625574547.897, lauv-roald, SmartX, 0.418
1625574548.062, lauv-roald, DVL, 0.101
1625574548.397, lauv-roald, SmartX, 0.448
1625574548.463, lauv-roald, DVL, 0.169
1625574548.666, lauv-roald, DVL, 0.162
1625574548.862, lauv-roald, DVL, 0.161
1625574548.897, lauv-roald, SmartX, 0.448
1625574549.265, lauv-roald, DVL, 0.162
1625574549.397, lauv-roald, SmartX, 0.398
1625574549.460, lauv-roald, DVL, 0.151
1625574549.664, lauv-roald, DVL, 0.125
1625574549.897, lauv-roald, SmartX, 0.328
1625574550.063, lauv-roald, DVL, 0.088
1625574550.263, lauv-roald, DVL, 0.059
1625574550.396, lauv-roald, SmartX, 0.269
1625574550.464, lauv-roald, DVL, 0.009
1625574550.862, lauv-roald, DVL, 0.000
1625574550.896, lauv-roald, SmartX, 0.239
1625574551.063, lauv-roald, DVL, 0.000
1625574551.262, lauv-roald, DVL, 0.000
1625574551.396, lauv-roald, SmartX, 0.308
1625574551.665, lauv-roald, DVL, 0.037
1625574551.863, lauv-roald, DVL, 0.049
1625574551.896, lauv-roald, SmartX, 0.408
1625574552.065, lauv-roald, DVL, 0.091
1625574552.397, lauv-roald, SmartX, 0.497
1625574552.465, lauv-roald, DVL, 0.153
1625574552.664, lauv-roald, DVL, 0.175
1625574552.865, lauv-roald, DVL, 0.201
1625574552.897, lauv-roald, SmartX, 0.507
1625574553.265, lauv-roald, DVL, 0.206
1625574553.397, lauv-roald, SmartX, 0.458
1625574553.465, lauv-roald, DVL, 0.202
1625574553.662, lauv-roald, DVL, 0.207
1625574553.897, lauv-roald, SmartX, 0.408
1625574554.066, lauv-roald, DVL, 0.156
1625574554.265, lauv-roald, DVL, 0.138
1625574554.397, lauv-roald, SmartX, 0.368
1625574554.464, lauv-roald, DVL, 0.131
1625574554.863, lauv-roald, DVL, 0.078
1625574554.896, lauv-roald, SmartX, 0.328
1625574555.064, lauv-roald, DVL, 0.064
1625574555.262, lauv-roald, DVL, 0.041
1625574555.396, lauv-roald, SmartX, 0.298
1625574555.662, lauv-roald, DVL, 0.002
1625574555.862, lauv-roald, DVL, 0.000
1625574555.896, lauv-roald, SmartX, 0.189
1625574556.064, lauv-roald, DVL, 0.000
1625574556.396, lauv-roald, SmartX, 0.169
1625574556.463, lauv-roald, DVL, 0.000
1625574556.664, lauv-roald, DVL, 0.000
1625574556.863, lauv-roald, DVL, 0.000
1625574556.896, lauv-roald, SmartX, 0.229
1625574557.265, lauv-roald, DVL, 0.000
1625574557.396, lauv-roald, SmartX, 0.249
1625574557.462, lauv-roald, DVL, 0.000
1625574557.664, lauv-roald, DVL, 0.020
1625574557.896, lauv-roald, SmartX, 0.289
1625574558.062, lauv-roald, DVL, 0.058
1625574558.264, lauv-roald, DVL, 0.096
1625574558.396, lauv-roald, SmartX, 0.388
1625574558.464, lauv-roald, DVL, 0.126
1625574558.862, lauv-roald, DVL, 0.179
1625574558.896, lauv-roald, SmartX, 0.497
1625574559.063, lauv-roald, DVL, 0.235
1625574559.263, lauv-roald, DVL, 0.281
1625574559.396, lauv-roald, SmartX, 0.607
1625574559.662, lauv-roald, DVL, 0.319
1625574559.863, lauv-roald, DVL, 0.338
1625574559.897, lauv-roald, SmartX, 0.627
1625574560.064, lauv-roald, DVL, 0.366
1625574560.396, lauv-roald, SmartX, 0.567
1625574560.466, lauv-roald, DVL, 0.330
1625574560.666, lauv-roald, DVL, 0.293
1625574560.862, lauv-roald, DVL, 0.267
1625574560.896, lauv-roald, SmartX, 0.408
1625574561.262, lauv-roald, DVL, 0.135
1625574561.396, lauv-roald, SmartX, 0.259
1625574561.462, lauv-roald, DVL, 0.073
1625574561.666, lauv-roald, DVL, 0.028
1625574561.896, lauv-roald, SmartX, 0.169
1625574562.064, lauv-roald, DVL, 0.000
1625574562.247, lauv-roald, DVL, 0.000
1625574562.396, lauv-roald, SmartX, 0.249
1625574562.465, lauv-roald, DVL, 0.000
1625574562.864, lauv-roald, DVL, 0.018
1625574562.896, lauv-roald, SmartX, 0.338
1625574563.065, lauv-roald, DVL, 0.072
1625574563.262, lauv-roald, DVL, 0.122
1625574563.396, lauv-roald, SmartX, 0.478
1625574563.666, lauv-roald, DVL, 0.234
1625574563.863, lauv-roald, DVL, 0.273
1625574563.896, lauv-roald, SmartX, 0.637
1625574564.063, lauv-roald, DVL, 0.317
1625574564.396, lauv-roald, SmartX, 0.746
1625574564.464, lauv-roald, DVL, 0.423
1625574564.662, lauv-roald, DVL, 0.426
1625574564.863, lauv-roald, DVL, 0.451
1625574564.896, lauv-roald, SmartX, 0.786
1625574565.264, lauv-roald, DVL, 0.469
1625574565.396, lauv-roald, SmartX, 0.686
1625574565.465, lauv-roald, DVL, 0.429
1625574565.665, lauv-roald, DVL, 0.359
1625574565.896, lauv-roald, SmartX, 0.517
1625574566.063, lauv-roald, DVL, 0.238
1625574566.263, lauv-roald, DVL, 0.150
1625574566.396, lauv-roald, SmartX, 0.279
1625574566.464, lauv-roald, DVL, 0.042
1625574566.864, lauv-roald, DVL, 0.000
1625574566.896, lauv-roald, SmartX, 0.169
1625574567.063, lauv-roald, DVL, 0.000
1625574567.263, lauv-roald, DVL, 0.000
1625574567.395, lauv-roald, SmartX, 0.279
1625574567.662, lauv-roald, DVL, 0.000
1625574567.862, lauv-roald, DVL, 0.028
1625574567.895, lauv-roald, SmartX, 0.348
1625574568.062, lauv-roald, DVL, 0.034
1625574568.395, lauv-roald, SmartX, 0.438
1625574568.463, lauv-roald, DVL, 0.109
1625574568.662, lauv-roald, DVL, 0.111
1625574568.861, lauv-roald, DVL, 0.133
1625574568.896, lauv-roald, SmartX, 0.458
1625574569.263, lauv-roald, DVL, 0.132
1625574569.395, lauv-roald, SmartX, 0.487
1625574569.465, lauv-roald, DVL, 0.127
1625574569.664, lauv-roald, DVL, 0.123
1625574569.896, lauv-roald, SmartX, 0.408
1625574570.064, lauv-roald, DVL, 0.079
1625574570.263, lauv-roald, DVL, 0.063
1625574570.396, lauv-roald, SmartX, 0.338
1625574570.466, lauv-roald, DVL, 0.049
1625574570.862, lauv-roald, DVL, 0.000
1625574570.895, lauv-roald, SmartX, 0.249
1625574571.064, lauv-roald, DVL, 0.000
1625574571.265, lauv-roald, DVL, 0.000
1625574571.395, lauv-roald, SmartX, 0.279
1625574571.664, lauv-roald, DVL, 0.003
1625574571.863, lauv-roald, DVL, 0.034
1625574571.895, lauv-roald, SmartX, 0.338
1625574572.064, lauv-roald, DVL, 0.071
1625574572.395, lauv-roald, SmartX, 0.438
1625574572.463, lauv-roald, DVL, 0.129
1625574572.662, lauv-roald, DVL, 0.179
1625574572.864, lauv-roald, DVL, 0.205
1625574572.895, lauv-roald, SmartX, 0.557
1625574573.266, lauv-roald, DVL, 0.307
1625574573.395, lauv-roald, SmartX, 0.657
1625574573.464, lauv-roald, DVL, 0.331
1625574573.665, lauv-roald, DVL, 0.336
1625574573.896, lauv-roald, SmartX, 0.657
1625574574.067, lauv-roald, DVL, 0.367
1625574574.265, lauv-roald, DVL, 0.332
1625574574.396, lauv-roald, SmartX, 0.577
1625574574.465, lauv-roald, DVL, 0.289
1625574574.863, lauv-roald, DVL, 0.233
1625574574.896, lauv-roald, SmartX, 0.458
1625574575.065, lauv-roald, DVL, 0.166
1625574575.261, lauv-roald, DVL, 0.083
1625574575.395, lauv-roald, SmartX, 0.289
1625574575.664, lauv-roald, DVL, 0.000
1625574575.865, lauv-roald, DVL, 0.000
1625574575.895, lauv-roald, SmartX, 0.199
1625574576.066, lauv-roald, DVL, 0.000
1625574576.395, lauv-roald, SmartX, 0.259
1625574576.464, lauv-roald, DVL, 0.000
1625574576.665, lauv-roald, DVL, 0.000
1625574576.863, lauv-roald, DVL, 0.000
1625574576.895, lauv-roald, SmartX, 0.338
1625574577.263, lauv-roald, DVL, 0.055
1625574577.395, lauv-roald, SmartX, 0.438
1625574577.462, lauv-roald, DVL, 0.104
1625574577.662, lauv-roald, DVL, 0.133
1625574577.895, lauv-roald, SmartX, 0.537
