timestamp, system, entity , value (m/s)
1625574554.265, lauv-roald, DVL, 1498.333
1625574554.397, lauv-roald, SmartX, 1490.400
1625574554.464, lauv-roald, DVL, 1498.312
1625574554.863, lauv-roald, DVL, 1498.278
1625574554.896, lauv-roald, SmartX, 1488.690
1625574555.064, lauv-roald, DVL, 1498.264
1625574555.262, lauv-roald, DVL, 1498.267
1625574555.396, lauv-roald, SmartX, 1487.910
1625574555.662, lauv-roald, DVL, 1498.330
1625574555.862, lauv-roald, DVL, 1498.393
1625574555.896, lauv-roald, SmartX, 1486.260
1625574556.064, lauv-roald, DVL, 1498.493
1625574556.396, lauv-roald, SmartX, 1485.960
1625574556.463, lauv-roald, DVL, 1498.641
1625574556.664, lauv-roald, DVL, 1498.770
1625574556.863, lauv-roald, DVL, 1498.893
1625574556.896, lauv-roald, SmartX, 1484.970
1625574557.265, lauv-roald, DVL, 1499.111
1625574557.396, lauv-roald, SmartX, 1484.960
1625574557.462, lauv-roald, DVL, 1499.206
1625574557.664, lauv-roald, DVL, 1499.271
1625574557.896, lauv-roald, SmartX, 1484.700
1625574558.062, lauv-roald, DVL, 1499.339
1625574558.264, lauv-roald, DVL, 1499.347
1625574558.396, lauv-roald, SmartX, 1485.160
1625574558.464, lauv-roald, DVL, 1499.349
1625574558.862, lauv-roald, DVL, 1499.252
1625574558.896, lauv-roald, SmartX, 1485.470
1625574559.063, lauv-roald, DVL, 1499.190
1625574559.263, lauv-roald, DVL, 1499.096
1625574559.396, lauv-roald, SmartX, 1486.050
1625574559.662, lauv-roald, DVL, 1498.959
1625574559.863, lauv-roald, DVL, 1498.864
1625574559.897, lauv-roald, SmartX, 1489.880
1625574560.064, lauv-roald, DVL, 1498.768
1625574560.397, lauv-roald, SmartX, 1490.770
1625574560.466, lauv-roald, DVL, 1498.605
1625574560.666, lauv-roald, DVL, 1498.517
1625574560.862, lauv-roald, DVL, 1498.421
1625574560.897, lauv-roald, SmartX, 1491.030
1625574561.262, lauv-roald, DVL, 1498.238
1625574561.396, lauv-roald, SmartX, 1489.830
1625574561.462, lauv-roald, DVL, 1498.209
1625574561.666, lauv-roald, DVL, 1498.192
1625574561.896, lauv-roald, SmartX, 1487.400
1625574562.064, lauv-roald, DVL, 1498.223
1625574562.247, lauv-roald, DVL, 1498.286
1625574562.396, lauv-roald, SmartX, 1487.780
1625574562.465, lauv-roald, DVL, 1498.395
1625574562.864, lauv-roald, DVL, 1498.620
1625574562.896, lauv-roald, SmartX, 1487.050
1625574563.065, lauv-roald, DVL, 1498.722
1625574563.262, lauv-roald, DVL, 1498.774
1625574563.396, lauv-roald, SmartX, 1486.680
1625574563.666, lauv-roald, DVL, 1498.844
1625574563.863, lauv-roald, DVL, 1498.798
1625574563.896, lauv-roald, SmartX, 1487.140
1625574564.063, lauv-roald, DVL, 1498.696
1625574564.396, lauv-roald, SmartX, 1487.260
1625574564.464, lauv-roald, DVL, 1498.472
1625574564.662, lauv-roald, DVL, 1498.368
1625574564.863, lauv-roald, DVL, 1498.286
1625574564.896, lauv-roald, SmartX, 1489.700
1625574565.264, lauv-roald, DVL, 1498.120
1625574565.396, lauv-roald, SmartX, 1491.660
1625574565.465, lauv-roald, DVL, 1498.075
1625574565.665, lauv-roald, DVL, 1497.987
1625574565.896, lauv-roald, SmartX, 1491.930
1625574566.063, lauv-roald, DVL, 1497.822
1625574566.263, lauv-roald, DVL, 1497.766
1625574566.396, lauv-roald, SmartX, 1491.520
1625574566.464, lauv-roald, DVL, 1497.781
1625574566.864, lauv-roald, DVL, 1497.855
1625574566.896, lauv-roald, SmartX, 1489.460
1625574567.063, lauv-roald, DVL, 1497.975
1625574567.263, lauv-roald, DVL, 1498.139
1625574567.395, lauv-roald, SmartX, 1488.800
1625574567.662, lauv-roald, DVL, 1498.510
1625574567.862, lauv-roald, DVL, 1498.678
1625574567.895, lauv-roald, SmartX, 1487.350
1625574568.062, lauv-roald, DVL, 1498.785
1625574568.395, lauv-roald, SmartX, 1487.860
1625574568.463, lauv-roald, DVL, 1498.907
1625574568.662, lauv-roald, DVL, 1498.958
1625574568.861, lauv-roald, DVL, 1498.949
1625574568.896, lauv-roald, SmartX, 1488.910
1625574569.263, lauv-roald, DVL, 1498.874
1625574569.395, lauv-roald, SmartX, 1489.060
1625574569.465, lauv-roald, DVL, 1498.838
1625574569.664, lauv-roald, DVL, 1498.797
1625574569.896, lauv-roald, SmartX, 1489.380
1625574570.064, lauv-roald, DVL, 1498.714
1625574570.263, lauv-roald, DVL, 1498.677
1625574570.396, lauv-roald, SmartX, 1489.520
1625574570.466, lauv-roald, DVL, 1498.654
1625574570.862, lauv-roald, DVL, 1498.624
1625574570.895, lauv-roald, SmartX, 1488.710
1625574571.064, lauv-roald, DVL, 1498.637
1625574571.265, lauv-roald, DVL, 1498.635
1625574571.395, lauv-roald, SmartX, 1487.460
1625574571.664, lauv-roald, DVL, 1498.747
1625574571.863, lauv-roald, DVL, 1498.822
1625574571.895, lauv-roald, SmartX, 1487.020
1625574572.064, lauv-roald, DVL, 1498.921
1625574572.395, lauv-roald, SmartX, 1486.640
1625574572.463, lauv-roald, DVL, 1499.053
1625574572.662, lauv-roald, DVL, 1499.110
1625574572.864, lauv-roald, DVL, 1499.147
1625574572.895, lauv-roald, SmartX, 1486.490
1625574573.266, lauv-roald, DVL, 1499.150
1625574573.395, lauv-roald, SmartX, 1486.770
1625574573.464, lauv-roald, DVL, 1499.144
