timestamp, system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1625574525.466, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.86248970, 0.14978707, -0.15608829
1625574525.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.91026247, 0.26680237, -0.03475796
1625574526.061, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.97123551, 0.24895382, 0.03567271
1625574526.263, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.89327610, 0.22918633, 0.01445757
1625574526.463, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.82345831, 0.17935744, -0.01776795
1625574526.865, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.74937654, 0.14633039, 0.09552075
1625574527.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.68956470, 0.14022082, 0.14947811
1625574527.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.58286881, 0.13024390, 0.18865272
1625574527.664, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.46650267, 0.19566336, 0.25879303
1625574527.865, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.34632552, 0.20882136, 0.22794966
1625574528.066, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.25734675, 0.21952622, 0.15078570
1625574528.467, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.15604210, 0.15859324, 0.05121417
1625574528.665, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.12363863, 0.12359740, 0.01689626
1625574528.866, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.14251256, 0.10792518, -0.02003709
1625574529.263, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.24701416, 0.05842996, -0.11828910
1625574529.465, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.33465338, 0.06451812, -0.14817155
1625574529.665, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.44322598, 0.03200859, -0.16367686
1625574530.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.58036172, 0.09094742, -0.14464832
1625574530.269, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.64933872, 0.13452083, -0.09974769
1625574530.465, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.59718585, 0.13620162, -0.05007169
1625574530.866, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.57352316, 0.25180104, 0.00148786
1625574531.067, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.55645728, 0.27946222, -0.03592396
1625574531.265, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.55341387, 0.26604298, -0.05819025
1625574531.666, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.51051533, 0.24929661, -0.05844120
1625574531.865, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.49472499, 0.24736413, -0.05477520
1625574532.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.48687065, 0.25778055, -0.03375946
1625574532.463, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.41343164, 0.20026609, -0.07505305
1625574532.661, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.39034295, 0.22887126, -0.06458084
1625574532.864, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.40770304, 0.16752595, -0.04868905
1625574533.264, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.45927072, 0.19917038, -0.03016533
1625574533.464, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.49563062, 0.26261944, -0.06177723
1625574533.666, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.55052757, 0.27897573, -0.07970191
1625574534.062, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.59238672, 0.24183837, -0.02932939
1625574534.264, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.59332108, 0.22769889, 0.01493399
1625574534.465, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.60066593, 0.24174857, 0.04030637
1625574534.861, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.57327783, 0.19691792, 0.08575273
1625574535.065, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.52774644, 0.16268639, 0.11842229
1625574535.263, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.46487355, 0.16655366, 0.12920485
1625574535.665, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.38605165, 0.12343317, 0.22071852
1625574535.865, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.31713510, 0.11031066, 0.22410495
1625574536.062, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.26158547, 0.11584981, 0.21048512
1625574536.464, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.19210398, 0.18674296, 0.07797927
1625574536.663, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.21948802, 0.22596319, 0.01114672
1625574536.863, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.20083964, 0.16445768, -0.03377405
1625574537.267, lauv-roald, DVL, VEL_X|VEL_Y|VEL_Z, 1.32965088, 0.17190045, -0.09084499
