timestamp, system, entity , value (s/m)
1625574640.390, lauv-roald, SmartX, 2.013
1625574640.890, lauv-roald, SmartX, 2.091
1625574641.390, lauv-roald, SmartX, 2.089
1625574641.890, lauv-roald, SmartX, 2.084
1625574642.390, lauv-roald, SmartX, 2.043
1625574642.890, lauv-roald, SmartX, 1.946
1625574643.390, lauv-roald, SmartX, 1.756
1625574643.890, lauv-roald, SmartX, 1.682
1625574644.390, lauv-roald, SmartX, 1.689
1625574644.890, lauv-roald, SmartX, 1.731
1625574645.390, lauv-roald, SmartX, 1.762
1625574645.890, lauv-roald, SmartX, 1.746
1625574646.390, lauv-roald, SmartX, 1.758
1625574646.890, lauv-roald, SmartX, 1.845
1625574647.390, lauv-roald, SmartX, 1.973
1625574647.890, lauv-roald, SmartX, 2.036
1625574648.390, lauv-roald, SmartX, 2.134
1625574648.890, lauv-roald, SmartX, 2.171
1625574649.390, lauv-roald, SmartX, 2.277
1625574649.890, lauv-roald, SmartX, 2.184
1625574650.390, lauv-roald, SmartX, 2.040
1625574650.890, lauv-roald, SmartX, 1.630
1625574651.390, lauv-roald, SmartX, 1.264
1625574651.890, lauv-roald, SmartX, 0.988
1625574652.390, lauv-roald, SmartX, 0.972
1625574652.890, lauv-roald, SmartX, 1.097
1625574653.389, lauv-roald, SmartX, 1.671
1625574653.889, lauv-roald, SmartX, 2.057
1625574654.390, lauv-roald, SmartX, 2.252
1625574654.890, lauv-roald, SmartX, 2.227
1625574655.389, lauv-roald, SmartX, 2.070
1625574655.889, lauv-roald, SmartX, 1.485
1625574656.389, lauv-roald, SmartX, 1.428
1625574656.889, lauv-roald, SmartX, 1.264
1625574657.389, lauv-roald, SmartX, 1.311
1625574657.889, lauv-roald, SmartX, 1.464
1625574658.389, lauv-roald, SmartX, 1.631
1625574658.889, lauv-roald, SmartX, 1.949
1625574659.390, lauv-roald, SmartX, 2.237
1625574659.890, lauv-roald, SmartX, 2.273
1625574660.390, lauv-roald, SmartX, 2.213
1625574660.889, lauv-roald, SmartX, 1.751
1625574661.389, lauv-roald, SmartX, 1.326
1625574661.889, lauv-roald, SmartX, 1.203
1625574662.390, lauv-roald, SmartX, 1.089
1625574662.889, lauv-roald, SmartX, 1.201
1625574663.389, lauv-roald, SmartX, 1.468
1625574663.889, lauv-roald, SmartX, 2.036
1625574664.389, lauv-roald, SmartX, 2.323
1625574664.889, lauv-roald, SmartX, 2.411
1625574665.389, lauv-roald, SmartX, 2.139
1625574665.889, lauv-roald, SmartX, 1.651
1625574666.389, lauv-roald, SmartX, 1.621
1625574666.889, lauv-roald, SmartX, 1.509
1625574667.389, lauv-roald, SmartX, 1.456
1625574667.889, lauv-roald, SmartX, 1.534
1625574668.389, lauv-roald, SmartX, 1.862
1625574668.889, lauv-roald, SmartX, 2.308
1625574669.389, lauv-roald, SmartX, 2.433
1625574669.889, lauv-roald, SmartX, 2.447
